condition: 1 = control,Cell index,KT pair No.,KT no.,Img no.,,Channel 1,,Frame,,Width,Pixel width,intensity centroid to disc center x,peak to disc center x,,,KK dist,,,Channel 2,,Width,Pixel width,intensity centroid to disc center x,peak to disc center x,,,KK dist
1,1,1,1,39,,1,,38,,0.191097048,0.322,0.037978903,0.038907001,,,2.307348308,,,2,,0.168826853,0.322,0.004882812,0.005378296,,,2.307348308
1,1,1,1,40,,1,,39,,0.177412401,0.322,0.006818499,0.012594453,,,2.301839311,,,2,,0.169965838,0.322,0.011948722,0.01067898,,,2.301839311
1,1,1,1,41,,1,,40,,0.192377716,0.322,0.031151711,0.02786356,,,2.208000044,,,2,,0.176254662,0.322,0.003202487,0.003989284,,,2.208000044
1,1,1,1,42,,1,,41,,0.197949886,0.322,-0.006908685,-0.003306684,,,2.117999098,,,2,,0.18561241,0.368,0.000519145,0.009212901,,,2.117999098
1,1,1,1,43,,1,,42,,0.194976374,0.322,0.028884011,0.039893193,,,2.301839311,,,2,,0.195812677,0.368,0.032184682,0.03574502,,,2.301839311
1,1,1,1,44,,1,,43,,0.229682383,0.414,0.029841729,0.02906916,,,2.48400005,,,2,,0.194451424,0.368,0.042274525,0.045548671,,,2.48400005
1,1,1,1,45,,1,,44,,0.21808542,0.368,0.042991805,0.050841913,,,2.58256312,,,2,,0.17819681,0.322,0.036628159,0.047597128,,,2.58256312
1,1,1,1,46,,1,,45,,0.207124316,0.322,0.023531011,0.020688198,,,2.682237925,,,2,,0.193723734,0.322,0.01852763,0.017303092,,,2.682237925
1,1,1,1,47,,1,,46,,0.203648019,0.368,0.044936711,0.060737175,,,2.766126589,,,2,,0.185835371,0.368,0.03839862,0.039870809,,,2.766126589
1,1,1,1,48,,1,,47,,0.201817248,0.368,0.043496827,0.04981571,,,2.773765727,,,2,,0.198700153,0.368,0.037808177,0.041960343,,,2.773765727
1,1,1,1,49,,1,,48,,0.195909951,0.368,0.033440396,0.037886576,,,2.79807082,,,2,,0.185173399,0.322,0.011906024,0.009911666,,,2.79807082
1,1,1,1,50,,1,,49,,0.206812764,0.368,0.023757237,0.027175727,,,2.616749181,,,2,,0.192747621,0.322,0.04898346,0.048472419,,,2.616749181
1,1,1,1,51,,1,,50,,0.20021215,0.368,0.045648497,0.057620489,,,2.165422866,,,2,,0.189126937,0.368,0.026836519,0.03089293,,,2.165422866
1,1,1,1,52,,1,,51,,0.200362685,0.368,0.04509219,0.052073292,,,2.042731545,,,2,,0.200502297,0.322,0.025373417,0.025446823,,,2.042731545
1,1,1,1,53,,1,,52,,0.194109172,0.368,0.0337065,0.035440742,,,1.966735405,,,2,,0.18162126,0.368,0.022668971,0.025118205,,,1.966735405
1,1,1,1,54,,1,,53,,0.192388134,0.368,-0.002728988,-0.003169665,,,2.05718258,,,2,,0.187270427,0.322,0.014585344,0.014451433,,,2.05718258
1,1,1,1,55,,1,,54,,0.184564882,0.322,0.009878752,0.011218675,,,2.147761668,,,2,,0.17477052,0.322,0.026384125,0.030259124,,,2.147761668
1,1,1,1,56,,1,,55,,0.190735682,0.368,0.029507224,0.031312474,,,2.255407769,,,2,,0.183815926,0.368,0.015433348,0.011539358,,,2.255407769
1,1,1,1,57,,1,,56,,0.184152015,0.322,0.030810457,0.02855949,,,2.544594321,,,2,,0.186557123,0.368,0.027245983,0.032758529,,,2.544594321
1,1,1,2,2,,1,,1,,0.219217128,0.368,0.028043103,0.018329674,,,2.042731545,,,2,,0.188047587,0.368,0.000195732,-0.008874612,,,2.042731545
1,1,1,2,3,,1,,2,,0.190213237,0.276,0.039239097,0.036487548,,,1.666190899,,,2,,0.1712442,0.322,-0.020284663,-0.018909053,,,1.666190899
1,1,1,2,4,,1,,3,,0.203286548,0.276,0.021105823,0.012773656,,,1.392212655,,,2,,0.171820337,0.276,0.006881421,0.001372018,,,1.392212655
1,1,1,2,5,,1,,4,,0.181784418,0.322,0.013237606,0.010920447,,,1.483455455,,,2,,0.178341175,0.276,0.009318437,-0.003044548,,,1.483455455
1,1,1,2,6,,1,,5,,0.179546708,0.322,0.033715395,0.026808032,,,1.65855362,,,2,,0.173343841,0.322,0.01476445,0.004416175,,,1.65855362
1,1,1,2,7,,1,,6,,0.173135027,0.322,-0.007247083,-0.011341448,,,2.20991588,,,2,,0.174730353,0.368,-0.000915117,-0.007886506,,,2.20991588
1,1,1,2,8,,1,,7,,0.186176546,0.322,0.020012815,0.012267854,,,2.669585789,,,2,,0.173793026,0.322,0.011420234,0.011273022,,,2.669585789
1,1,1,2,9,,1,,8,,0.194812124,0.322,-0.018302813,-0.02563388,,,3.128000063,,,2,,0.182021735,0.322,0.016330509,0.012261826,,,3.128000063
1,1,1,2,10,,1,,9,,0.19993406,0.368,-0.017915523,-0.024580899,,,3.497210387,,,2,,0.18897555,0.368,0.018517406,0.009309908,,,3.497210387
1,1,1,2,11,,1,,10,,0.272293729,0.368,0.045056791,0.053189442,,,3.313277598,,,2,,0.231988735,0.414,0.017493288,0.014775363,,,3.313277598
1,1,1,2,12,,1,,11,,0.264425074,0.414,0.01554355,-0.011213117,,,3.03739368,,,2,,0.212970013,0.414,0.028398337,0.038430028,,,3.03739368
1,1,1,2,13,,1,,12,,0.227207762,0.368,0.001343307,-0.003457137,,,2.392000048,,,2,,0.199097349,0.368,0.032535487,0.033094661,,,2.392000048
1,1,1,2,14,,1,,13,,0.216217876,0.368,0.003987915,0.001797964,,,1.750419413,,,2,,0.188896539,0.368,0.002074417,0.002173153,,,1.750419413
1,1,1,2,15,,1,,14,,0.204875193,0.276,0.034062795,0.034095403,,,1.474872227,,,2,,0.170388149,0.322,0.02499565,0.025452321,,,1.474872227
1,1,1,2,16,,1,,15,,0.202674126,0.276,0.018132307,0.012435115,,,1.392212655,,,2,,0.170931342,0.276,0.009934388,0.004686807,,,1.392212655
1,1,1,2,17,,1,,16,,0.199498079,0.322,0.017884239,0.006109573,,,1.474872227,,,2,,0.18263415,0.322,0.007561659,0.006886827,,,1.474872227
1,1,1,2,18,,1,,17,,0.217361634,0.322,-0.013013826,-0.009504929,,,1.842298601,,,2,,0.182510685,0.368,-0.007705652,-0.012630419,,,1.842298601
1,1,1,2,19,,1,,18,,0.225589398,0.368,8.12E-06,-0.00890632,,,2.123984977,,,2,,0.198982206,0.368,0.029966127,0.027309483,,,2.123984977
1,1,1,2,20,,1,,19,,0.181487001,0.322,-0.010830752,-0.006877033,,,2.674337355,,,2,,0.172880655,0.322,0.011318658,0.010192316,,,2.674337355
1,1,1,2,21,,1,,20,,0.259760971,0.368,-0.020538559,-0.038630671,,,3.133407154,,,2,,0.205341157,0.368,0.020975399,0.01281308,,,3.133407154
1,1,1,2,22,,1,,21,,0.218520883,0.368,-0.001317015,-0.028531688,,,3.31710724,,,2,,0.186206822,0.414,-0.013768182,-0.025160158,,,3.31710724
1,1,1,2,23,,1,,22,,0.175565773,0.276,0.007309417,0.005716867,,,3.128000063,,,2,,0.162285222,0.322,-0.008071843,-0.011562077,,,3.128000063
1,1,1,2,24,,1,,23,,0.22841403,0.368,-0.002580627,-0.023585713,,,2.945437208,,,2,,0.197299842,0.368,0.012493393,0.002981868,,,2.945437208
1,1,1,2,25,,1,,24,,0.24580525,0.368,0.025016268,-0.003254029,,,2.853483542,,,2,,0.194330974,0.322,0.022357356,0.018307495,,,2.853483542
1,1,1,2,26,,1,,25,,0.223812274,0.46,0.012216748,-0.017858923,,,2.766126589,,,2,,0.199425487,0.368,-0.010409247,-0.018065545,,,2.766126589
1,1,1,2,27,,1,,26,,0.231534508,0.368,-0.000950439,-0.025162685,,,2.784425311,,,2,,0.203181245,0.368,0.00500815,-0.00045732,,,2.784425311
1,1,1,2,28,,1,,27,,0.22268408,0.414,-0.008122571,-0.020809983,,,2.79807082,,,2,,0.18130634,0.368,0.021238336,0.016139821,,,2.79807082
1,1,1,2,29,,1,,28,,0.215164642,0.368,-0.004307825,-0.017509742,,,2.590743574,,,2,,0.172062951,0.414,-0.010599422,-0.013737461,,,2.590743574
1,1,1,2,30,,1,,29,,0.21360285,0.414,-0.012726749,-0.031060709,,,2.301839311,,,2,,0.175111335,0.414,-0.011310141,-0.019391805,,,2.301839311
1,1,1,2,31,,1,,30,,0.188624304,0.368,0.005700352,-0.005544746,,,1.940742165,,,2,,0.177355325,0.368,-0.014934951,-0.019631191,,,1.940742165
1,1,1,2,32,,1,,31,,0.196596381,0.322,0.002124658,-0.001895086,,,1.842298601,,,2,,0.180467328,0.322,0.016331437,0.010861014,,,1.842298601
1,1,1,2,33,,1,,32,,0.180540825,0.322,0.034873329,0.033683356,,,1.842298601,,,2,,0.176016746,0.322,0.013457687,0.012000717,,,1.842298601
1,1,1,2,34,,1,,33,,0.194701075,0.322,0.034686732,0.021745519,,,1.750419413,,,2,,0.182789284,0.322,0.021810319,0.008658453,,,1.750419413
1,1,1,2,35,,1,,34,,0.184146255,0.322,-0.002028942,0.000451181,,,1.849177151,,,2,,0.176533674,0.322,-0.006145322,-0.005212832,,,1.849177151
