condition: 2 = TSA,Cell index,KT pair No.,KT no.,Img no.,,Channel 1,,Frame,,Width,Pixel width,intensity centroid to disc center x,peak to disc center x,,,KK dist,,,Channel 2,,Width,Pixel width,intensity centroid to disc center x,peak to disc center x,,,
2,1,1,1,39,,1,,38,,0.204436618,0.414,0.02131551,0.019561531,,,1.921016436,,,2,,0.202116745,0.414,0.018094144,0.026161982,,,1.921016436
2,1,1,1,40,,1,,39,,0.196811148,0.414,0.010625167,0.015303741,,,1.542201055,,,2,,0.194704021,0.23,0.006953527,0.031898315,,,1.542201055
2,1,1,1,41,,1,,40,,0.190402016,0.414,-0.005341344,0.014874648,,,1.542201055,,,2,,0.18872468,0.368,-0.025815799,0.012511735,,,1.542201055
2,1,1,1,42,,1,,41,,0.220102148,0.414,-0.002855361,0.002729476,,,1.606710958,,,2,,0.207753908,0.276,-0.007623924,0.012926454,,,1.606710958
2,1,1,1,43,,1,,42,,0.204269746,0.46,-0.004730724,0.008171898,,,1.486305516,,,2,,0.200229574,0.368,-0.01306,0.003308463,,,1.486305516
2,1,1,1,44,,1,,43,,0.217568185,0.322,0.015192349,0.003836338,,,1.572096721,,,2,,0.218632295,0.368,0.016075178,0.005806098,,,1.572096721
2,1,1,1,45,,1,,44,,0.187614593,0.368,0.017928361,0.014608264,,,1.745577303,,,2,,0.193494727,0.322,0.023455855,0.026908434,,,1.745577303
2,1,1,1,46,,1,,45,,0.190178947,0.368,0.035100279,0.03411278,,,1.921016436,,,2,,0.185173037,0.322,0.0262987,0.026406592,,,1.921016436
2,1,1,1,47,,1,,46,,0.181991088,0.368,0.006064018,0.005055428,,,2.345549023,,,2,,0.189158639,0.368,0.044177488,0.040951874,,,2.345549023
2,1,1,1,48,,1,,47,,0.193497505,0.368,0.017692383,0.022933613,,,2.365312712,,,2,,0.19671395,0.368,0.035014053,0.039307404,,,2.365312712
2,1,1,1,49,,1,,48,,0.184227486,0.368,0.003309865,0.003156496,,,2.444500816,,,2,,0.19560852,0.368,0.029116984,0.03706334,,,2.444500816
2,1,1,1,50,,1,,49,,0.198392813,0.368,0.031643755,0.030001894,,,2.358145081,,,2,,0.200950149,0.368,0.009032434,0.003053085,,,2.358145081
2,1,1,1,51,,1,,50,,0.200320167,0.414,0.028970711,0.028046837,,,2.186815079,,,2,,0.211694027,0.322,0.016823105,0.01443443,,,2.186815079
2,1,1,1,52,,1,,51,,0.222865697,0.414,0.004347756,0.004133678,,,1.97532381,,,2,,0.2207593,0.322,0.016278228,0.011637785,,,1.97532381
2,1,1,1,53,,1,,52,,0.227370863,0.368,0.009926905,0.003263867,,,1.97532381,,,2,,0.223088938,0.322,0.011942985,0.017384495,,,1.97532381
2,1,1,1,54,,1,,53,,0.231145099,0.414,0.023437558,0.019182978,,,1.97532381,,,2,,0.205630601,0.322,0.024634874,0.020439672,,,1.97532381
2,1,1,1,55,,1,,54,,0.223011257,0.414,0.01304459,0.019442777,,,2.099939089,,,2,,0.207087956,0.322,0.020094448,0.017588489,,,2.099939089
2,1,1,1,56,,1,,55,,0.219909992,0.414,-0.00611955,-0.016805044,,,1.934189275,,,2,,0.206802361,0.368,0.020362538,0.019908623,,,1.934189275
2,1,1,1,57,,1,,56,,0.229809853,0.414,0.016442798,0.012964557,,,1.851464322,,,2,,0.222482368,0.322,0.024238306,0.024604421,,,1.851464322
