condition: 1 = control 2 = TSA,Cell index,Channel,KT pairs,KT,Time,,index,KT detect,widthX,widthY,raw tiltangle,elongationratio,semiaxesratio,tail,direction of tail,length of tail,,KK dist,path,,condition: 2 = TSA,Cell index,Channel,KT pairs,KT,Time,,index,KT detect,widthX,widthY,raw tiltangle,elongationratio,semiaxesratio,tail,direction of tail,length of tail,,KK dist,path
2,1,1,1,1,12,/,11,TRUE,0.224172623,0.193382024,2.942257645,0.308870253,0.691129747,FALSE,,"0.046*""""",//,1.769655369,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,12,/,11,TRUE,0.233487004,0.198594046,2.792053064,0.189196239,0.810803761,FALSE,,"0.046*""""",//,1.769655369,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,13,/,12,TRUE,0.195375112,0.196724792,2.521542616,0.224720546,0.775279454,FALSE,,"0.046*""""",//,1.849177151,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,13,/,12,TRUE,0.214641762,0.186823406,2.530603428,0.246784151,0.753215849,FALSE,,"0.046*""""",//,1.849177151,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,14,/,13,TRUE,0.18096837,0.207618282,-0.993715388,0.15034375,0.84965625,FALSE,,"0.046*""""",//,1.678842492,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,14,/,13,TRUE,0.19613914,0.181227812,2.571451064,0.169160964,0.830839036,FALSE,,"0.046*""""",//,1.678842492,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,15,/,14,TRUE,0.186001349,0.209781664,-1.026412109,0.087777221,0.912222779,FALSE,,"0.046*""""",//,1.65855362,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,15,/,14,TRUE,0.195120896,0.19384835,-2.778008602,0.021460592,0.978539408,FALSE,,"0.046*""""",//,1.65855362,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,16,/,15,TRUE,0.190476266,0.19849495,-2.265821112,0.139666221,0.860333779,FALSE,,"0.046*""""",//,1.748000035,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,16,/,15,TRUE,0.192887748,0.196261476,-2.396173177,0.115331198,0.884668802,FALSE,,"0.046*""""",//,1.748000035,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,17,/,16,TRUE,0.195424425,0.212094106,-1.990292921,0.134231019,0.865768981,FALSE,,"0.046*""""",//,2.117999098,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,17,/,16,TRUE,0.191255714,0.210899729,-1.876159309,0.044019431,0.955980569,FALSE,,"0.046*""""",//,2.117999098,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,18,/,17,TRUE,0.193852591,0.217584293,-2.258935808,0.148000316,0.851999684,FALSE,,"0.046*""""",//,2.307348308,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,18,/,17,TRUE,0.191939572,0.192349991,-1.028891535,0.078135603,0.921864397,FALSE,,"0.046*""""",//,2.307348308,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,19,/,18,TRUE,0.204896737,0.206958291,-2.19950187,0.121860307,0.878139693,FALSE,,"0.046*""""",//,2.577642385,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,19,/,18,TRUE,0.201017722,0.205027495,-2.34498214,0.142530218,0.857469782,FALSE,,"0.046*""""",//,2.577642385,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,20,/,19,TRUE,0.209771493,0.212175374,-2.036705085,0.137564418,0.862435582,FALSE,,"0.046*""""",//,2.682237925,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,20,/,19,TRUE,0.210318938,0.205188686,-2.525431014,0.142972378,0.857027622,FALSE,,"0.046*""""",//,2.682237925,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,21,/,20,TRUE,0.211653767,0.224837975,-1.971614129,0.144802775,0.855197225,FALSE,,"0.046*""""",//,2.316500856,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,21,/,20,TRUE,0.214241416,0.206497913,-1.857350981,0.096135238,0.903864762,FALSE,,"0.046*""""",//,2.316500856,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
