"condition","Cell index","KT pairs","KT","KT data path","ch1meanx[]","ch2meanx[]","ch1meany[]","ch2meany[]","ch1SDx[]","ch2SDx[]","ch1SDy[]","ch2SDy[]","ch1tail[]","ch2tail[]","ch1maxtail[]","ch2maxtail[]","ch1lefttailcount[]","ch1righttailcount[]","ch2lefttailcount[]","ch2righttailcount[]","sdxymovementdata[]_Normalized","sistersdxymovementdata[]_Normalized","meanspeeddata[]_Normalized","meanspeedsisterdata[]_Normalized","sdspeeddata[]_Normalized","sdspeedsisterdata[]_Normalized","sdkkdistance[]_Normalized","meankkdistance[]_Normalized","meanxlocation[]","meanylocation[]","meanzlocation[]"
1,2,3,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 2\ch1\12-14\12\(+-1)\ch1KT12.csv",0.4123619185760292,0.36408404606561223,0.4104445711435312,0.37867602829499686,0.059078731443981215,0.03679357165474818,0.03176685639570837,0.02427556062596292,"False","False",0,0,0,0,0,0,1.725058564063996,1.725058564063996,1.5970772664862618,1.5970772664862618,1.9475674897126996,1.9475674897126996,1.7677162633666392,0.8971248273123751,12.214590976841025,10.17070046184724,1.1335160936291455
1,2,3,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 2\ch1\12-14\14\(+-1)\ch1KT14.csv",0.42387511211203327,0.38752445057895096,0.4670814510974713,0.42851206493094923,0.033313609713714144,0.019801469499485906,0.03182717631576673,0.024421626830832717,"False","False",0,0,0,0,0,0,1.3270489467016797,1.3270489467016797,0.8132695258232471,0.8132695258232471,0.6125306395737982,0.6125306395737982,1.7677162633666392,0.8971248273123751,14.723499814383038,9.64887823585775,1.2622603132656485
1,2,5,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 2\ch1\13-5\13\(+-1)\ch1KT13.csv",0.4222127994896012,0.3826876551661997,0.47913725657077594,0.4158990064137145,0.040836173125711826,0.04664089110210574,0.03310637201372136,0.034595398352482536,"False","False",0,0,0,0,0,0,1.2598583780925694,1.2598583780925694,0.9363825775206397,0.9363825775206397,0.7378654070472661,0.7378654070472661,1.6229419388147166,1.0283130606332302,12.940549842756644,12.794005775889099,0.4156421359741611
1,2,5,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 2\ch1\13-5\5\(+-1)\ch1KT5.csv",0.4151857529955341,0.3669337685278921,0.417677479162033,0.37299292550950414,0.02341895712212018,0.015408112248654864,0.026533752711303444,0.01115410691713742,"False","False",0,0,0,0,0,0,0.9331990978719809,0.9331990978719809,1.3550455522891132,1.3550455522891132,1.4855096350589228,1.4855096350589228,1.6229419388147166,1.0283130606332302,15.76435041752335,12.052808570252141,0.9915390338332523
1,2,7,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 2\ch1\2-1\1\(+-1)\ch1KT1.csv",0.40857749014945216,0.3855351062373004,0.4169483570161459,0.3681805657618837,0.022327476127359445,0.021989488072149586,0.02589617556768625,0.013689371708730885,"False","False",0,0,0,0,0,0,0.3613268853557937,0.3613268853557937,0.8978823899973838,0.8978823899973838,0.8392720706137722,0.8392720706137722,0.4221924000137831,0.9981140054376014,14.095295528189034,4.854061383868206,1.316175184044279
1,2,7,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 2\ch1\2-1\2\(+-1)\ch1KT2.csv",0.4325750000806528,0.3813246307149083,0.39537978923086015,0.3627336863461994,0.018532228182297876,0.0163012423443247,0.015679437951479434,0.013385577746292853,"False","False",0,0,0,0,0,0,0.356438093378842,0.356438093378842,0.7757762787458024,0.7757762787458024,0.8470973323964481,0.8470973323964481,0.4221924000137831,0.9981140054376014,11.44474431741054,5.872804626743641,1.4205939803869356
1,2,9,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 2\ch1\3-0\0\(+-1)\ch1KT0.csv",0.4447158149421793,0.436153963425836,0.39247316711458463,0.3883436848587761,0.02907128722607539,0.03137568574590477,0.025363596217459206,0.02867976856818033,"True","True",-0.18055181278118299,0.5393687559061585,1,0,0,3,0.4516580840945138,0.4516580840945138,0.8334615439592933,0.8334615439592933,0.5944923633431921,0.5944923633431921,0.49345826784541624,0.9117168189635069,14.350383485370765,6.204871077511518,1.8797883660327068
1,2,9,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 2\ch1\3-0\3\(+-1)\ch1KT3.csv",0.44095579013707903,0.4059321806122256,0.42086445163124186,0.3803805813813413,0.030231637906092516,0.022929580861503405,0.03612927775912069,0.028842546760174483,"False","False",0,0,0,0,0,0,0.40936738898413766,0.40936738898413766,0.7679809704508788,0.7679809704508788,0.8883215131344602,0.8883215131344602,0.49345826784541624,0.9117168189635069,11.943099843552725,7.177137494053861,1.5685035185607035
1,2,11,1,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 2\ch1\8-6\6\(+-1)\ch1KT6.csv",0.5544878948509949,0.455772994087264,0.40057000169461604,0.37957545503857676,0.05745005444571684,0.03485095678036182,0.03354359889773141,0.033531286749621345,"True","False",0.480668255072023,0,1,1,0,0,1.6706052389086938,1.6706052389086938,1.0952074185959904,1.0952074185959904,1.0250116049747855,1.0250116049747855,0.6994346120970765,1.1639437898376424,16.10767798710057,13.250034960424294,2.17594673870322
1,2,11,2,"C:\Users\taoji\OneDrive - UCSF\Desktop\20240227 analysis\Control (new 100x obj) analysis\cell 2\ch1\8-6\8\(+-1)\ch1KT8.csv",0.4070861654733628,0.3591798013240626,0.48566360282201027,0.41399418490792567,0.020830122586575434,0.016019011570034537,0.03545051148281356,0.0201642282066363,"False","False",0,0,0,0,0,0,1.5054393225477913,1.5054393225477913,0.9279164761313892,0.9279164761313892,1.0223319441446552,1.0223319441446552,0.6879476478218121,1.1655187854689313,13.010080183979898,14.433753624343444,1.955423119187681
