"condition","Cell index","KT pairs","KT","Time","move X","move Y","move Z","move interval","WidthX Ch1 (normalized)","tail or not ch1","tail direction ch1","WidthX Ch2 (normalized)","tail or not ch2","tail direction ch2","location X","location Y","location Z","frame"
1,2,3,1,16,-0.04581905507902384,-0.004778689662011004,0.016936020626650228,1,0.997943374404545,"False","",0.9880363864051837,"False","",1.3345578559744045,-0.2384472039071408,-0.178431381346285,16
1,2,3,1,17,-0.1616212560933672,0.07163207270477656,-0.11181191066967078,1,0.9753862085457274,"False","",1.0320020636211267,"False","",1.2887388008953806,-0.2432258935691518,-0.16149536071963477,17
1,2,3,1,18,-0.25687053994875164,-0.04381186498670964,0.22147918334615257,1,1.4102395861808583,"False","",1.1775988597034597,"False","",1.1271175448020134,-0.17159382086437525,-0.27330727138930555,18
1,2,3,1,19,-0.10238858161467235,-0.025190320875921657,-0.008498730036013313,1,0.9974263612531776,"False","",1.0214744630578398,"False","",0.8702470048532618,-0.21540568585108488,-0.051828088043152976,19
1,2,3,1,20,-0.281529397757323,0.10941378471568441,-0.10803096287764125,1,1.110035589871502,"False","",1.1079333040288084,"False","",0.7678584232385894,-0.24059600672700654,-0.06032681807916629,20
1,2,3,1,21,-0.2234281476592752,-0.0041685597922800355,0.05486142865475441,1,1.1513396153809823,"False","",1.0694340873842378,"False","",0.48632902548126644,-0.13118222201132212,-0.16835778095680753,21
1,2,3,1,22,-0.05574181267120437,0.03524925216772523,0.13704157004897555,1,1.089081448837423,"False","",1.131087903061673,"False","",0.26290087782199123,-0.13535078180360216,-0.11349635230205313,22
1,2,3,1,23,-0.09714022492568475,0.018622667449633923,0.11565884808249849,1,1.1587928806399068,"False","",1.098743777849333,"False","",0.20715906515078686,-0.10010152963587693,0.02354521774692242,23
1,2,3,1,24,0.2025623818893756,0.01532041236156445,0.040684576883818435,1,1.1264125253794322,"False","",1.1039179143897613,"False","",0.11001884022510211,-0.081478862186243,0.1392040658294209,24
1,2,3,2,1,-0.08946675035098295,0.047952541487761735,0.044903919022556416,-1,0.9129836724438453,"False","",0.984372742286882,"False","",-0.8648919475053045,0.6859398021675851,0.2561219732791311,1
1,2,3,2,2,0.0955708385396079,0.009982712982269604,-0.034319648681016224,-1,0.8402738636226047,"False","",0.868404842230506,"False","",-0.7754251971543216,0.6379872606798234,0.2112180542565747,2
1,2,3,2,3,0.08072015409550026,0.05804392087827104,-0.05029923739676723,-1,0.8855953274308618,"False","",1.0321929388895341,"False","",-0.8709960356939295,0.6280045476975538,0.24553770293759092,3
1,2,3,2,4,-0.041206929713588636,0.1339483162429005,0.07092097832867639,-1,1.073872739098191,"False","",1.1262590376916344,"False","",-0.9517161897894297,0.5699606268192827,0.29583694033435814,4
1,2,3,2,5,-0.0008173869321979055,0.19272831457598016,-0.010991976154373306,-1,1.0472415723801434,"False","",1.0453664120986437,"False","",-0.9105092600758411,0.43601231057638223,0.22491596200568176,5
1,2,3,2,6,-0.16123309469741542,0.05448839241901915,0.25581651967668617,-1,1.0226058147715742,"False","",1.025586770856384,"False","",-0.9096918731436432,0.24328399600040207,0.23590793816005506,6
1,2,3,2,7,-0.10235566420555209,0.1124240620910264,0.08862678843316396,-1,1.0487399755219051,"False","",0.9675766742523647,"False","",-0.7484587784462278,0.18879560358138292,-0.019908581516631108,7
1,2,3,2,8,-0.10155675389980168,-0.016578693554183843,0.08765355997946478,-1,1.1319965817967323,"False","",1.015344904854588,"False","",-0.6461031142406757,0.07637154149035652,-0.10853536994979507,8
1,2,3,2,9,-0.12654766251193195,0.026970865409502665,-0.0941715299944954,-1,1.1175667014388857,"False","",0.9800343531925307,"False","",-0.544546360340874,0.09295023504454036,-0.19618892992925985,9
1,2,3,2,10,-0.2098260429189871,-0.009116967587806002,-0.0801560463193065,-1,1.0397348924897434,"False","",0.9638816745378697,"False","",-0.41799869782894206,0.0659793696350377,-0.10201739993476444,10
1,2,3,2,11,-0.2369339765712759,0.05741974324346977,-0.02015190485393381,-1,0.990734326962256,"False","",0.9546239613420321,"False","",-0.20817265490995496,0.0750963372228437,-0.021861353615457935,11
1,2,3,2,12,-0.1728716394980463,-0.03942987498547268,0.1579965549019915,-1,1.051380262757291,"False","",1.0150132708514201,"False","",0.02876132166132095,0.017676593979373934,-0.0017094487615241238,12
1,2,3,2,13,-0.22828731480361064,0.009421417845635105,0.1569287764108519,-1,0.9197713782164697,"False","",0.9703241373472676,"False","",0.20163296115936724,0.05710646896484661,-0.15970600366351562,13
1,2,3,2,14,-0.08586946845835719,-0.00788595455954244,-0.1516032488689093,-1,0.9315383957533095,"False","",0.99614176408361,"False","",0.4299202759629779,0.04768505111921151,-0.3166347800743675,14
1,2,3,2,15,-0.1762107852250807,0.11065533220709334,0.051646505462126235,-1,0.9808856340059953,"False","",1.0265285325794484,"False","",0.5157897444213351,0.05557100567875395,-0.16503153120545822,15
1,2,3,2,16,0.015539068280391533,0.11529985791608155,-0.0021580463857828747,-1,0.9956077316024643,"False","",1.0396542930910528,"False","",0.6920005296464158,-0.05508432652833939,-0.21667803666758445,16
1,2,3,2,17,0.05579603843510661,0.04968839482430454,0.0006081656592507034,-1,1.0025117484516632,"False","",0.8974635213037377,"False","",0.6764614613660243,-0.17038418444442094,-0.21451999028180158,17
1,2,3,2,18,-0.0435290493795204,0.09381824758739121,-0.1548617187150283,-1,0.900197470200356,"False","",1.022188445031635,"False","",0.6206654229309176,-0.22007257926872548,-0.21512815594105228,18
1,2,3,2,19,-0.07973132656507076,0.13519872756805285,-0.060818799342050145,-1,1.1219236047947425,"False","",1.0048768450228274,"False","",0.664194472310438,-0.3138908268561167,-0.06026643722602398,19
1,2,3,2,20,0.08719056741561815,-0.015376526229021081,0.1871675519370819,-1,0.997721750073479,"False","",1.0327935787971614,"False","",0.7439257988755088,-0.44908955442416953,0.0005523621160261616,20
1,2,3,2,21,0.09010468982370767,0.06210627713267236,-0.1542523303094665,-1,0.9010046686806,"False","",0.9732520844642552,"False","",0.6567352314598907,-0.43371302819514845,-0.18661518982105574,21
1,2,3,2,22,-0.10616215408378693,0.04207019967170211,-0.08315488886832556,-1,1.0060656737207831,"False","",1.0057187519320128,"False","",0.566630541636183,-0.4958193053278208,-0.03236285951158924,22
1,2,3,2,23,-0.02805413129745915,0.04024382769563317,-0.16854606689971718,-1,1.0538709421901928,"False","",1.0182254864479587,"False","",0.6727926957199699,-0.5378895049995229,0.05079202935673632,23
1,2,3,2,24,0.02269400205606331,0.04621077522277517,-0.05760491314081784,-1,1.0261752715959087,"False","",1.0341749768146413,"False","",0.7008468270174291,-0.5781333326951561,0.2193380962564535,24
""
""
