condition,Cell index,KT pairs,KT,path,ch1meanxch2meanxch1meanych2meanych1SDx,,,,,ch2SDx,ch1SDy,ch2SDy,ch1tail,ch2tail,ch1maxtail,ch2maxtailch1lefttailcount,ch1lefttailcount,ch1righttailcount,ch2lefttailcount,ch2righttailcount,sdxymovementdata,sistersdxymovementdata,meanspeeddata,meanspeedsisterdata,sdspeeddata,sdspeedsisterdata,sdkkdistance,meankkdistance
1,2,2,1,"D:\combine0802\control\dic1(0714\ch1\14.-23\Path from Track_14 to Track_14.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\14.-23_(+-1)_NewResult_0908XYnew.csv",0.204521312,0.187046374,0.232877324,0.211634378,0.028941615,0.0241186,0.019198105,0.020355488,TRUE,FALSE,-0.266906616,0,1,0,0,0,0.701188154,0.504303874,0.239372992,0.185683148,0.168261547,0.11080799,0.432047913,2.403537702
1,2,2,2,"D:\combine0802\control\dic1(0714\ch1\14.-23\Path from Track_23 to Track_23.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\14.-23_(+-1)_NewResult_0908XYnew.csv",0.263356853,0.233795468,0.224495654,0.203272271,0.067346866,0.055838998,0.027601878,0.020295402,TRUE,TRUE,-0.478704972,-0.462631138,8,8,5,5,0.504303874,0.701188154,0.185683148,0.239372992,0.11080799,0.168261547,0.432047913,2.403537702
1,2,3,2,"D:\combine0802\control\dic1(0714\ch1\2.-19\Path from Track_2 to Track_2.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\2.-19_(+-1)_NewResult_0908XYnew.csv",0.207149824,0.191618621,0.212217366,0.189579938,0.01833546,0.015438308,0.01791089,0.013142707,FALSE,FALSE,0,0,0,0,0,0,1.548796611,1.644181417,0.264965281,0.195722765,0.161499807,0.111983451,0.635874594,2.567002593
1,2,4,1,"D:\combine0802\control\dic1(0714\ch1\5.-10\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\5.-10_(+-1)_NewResult_0908XYnew.csv",0.206087723,0.192078371,0.267704358,0.233268213,0.023621155,0.015758079,0.029528143,0.022089703,FALSE,FALSE,0,0,0,0,0,0,1.289138465,1.203292878,0.191617827,0.145612731,0.111997099,0.084918238,0.416216838,2.566379804
1,3,1,1,"D:\combine0802\control\new\ch1\0.-7\Path from Track_0 to Track_0.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\0.-7_(+-1)_NewResult_0908XYnew.csv",0.189792236,0.181380151,0.235004932,0.221037534,0.014510357,0.016596241,0.012106467,0.01412673,FALSE,FALSE,0,0,0,0,0,0,1.070147592,0.912443117,0.252080197,0.229371344,0.144078736,0.118875318,0.391465551,2.122581978
1,3,1,2,"D:\combine0802\control\new\ch1\0.-7\Path from Track_7 to Track_7.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\0.-7_(+-1)_NewResult_0908XYnew.csv",0.200312609,0.196688915,0.220522113,0.210810153,0.022727203,0.021902521,0.01490404,0.01623723,FALSE,FALSE,0,0,0,0,0,0,0.912443117,1.070147592,0.229371344,0.252080197,0.118875318,0.144078736,0.391465551,2.122581978
1,3,3,1,"D:\combine0802\control\new\ch1\9.-6\Path from Track_6 to Track_6.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\9.-6_(+-1)_NewResult_0908XYnew.csv",0.273361392,0.25968979,0.23403871,0.209109429,0.071080413,0.058160967,0.023895347,0.016699422,TRUE,TRUE,0.52063853,0.323590831,9,13,3,12,0.622325521,0.735654381,0.259536061,0.254990874,0.149189682,0.149497046,0.330513093,2.039190493
1,3,3,2,"D:\combine0802\control\new\ch1\9.-6\Path from Track_9 to Track_9.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\9.-6_(+-1)_NewResult_0908XYnew.csv",0.197881929,0.19793473,0.223813372,0.200937755,0.015697496,0.014893484,0.014010352,0.010113214,FALSE,FALSE,0,0,0,0,0,0,0.735654381,0.622325521,0.254990874,0.259536061,0.149497046,0.149189682,0.330513093,2.039190493
1,4,1,1,"D:\combine0802\control\new(2)(1)\ch1\13.-10\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\13.-10_(+-1)_NewResult_0908XYnew.csv",0.191612395,0.191079162,0.215458817,0.201258185,0.014537498,0.012849848,0.009389122,0.012155023,FALSE,FALSE,0,0,0,0,0,0,1.567883578,1.60048754,0.247185945,0.260687425,0.122650582,0.128007686,0.325584124,2.309122794
1,4,1,2,"D:\combine0802\control\new(2)(1)\ch1\13.-10\Path from Track_13 to Track_13.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\13.-10_(+-1)_NewResult_0908XYnew.csv",0.206569817,0.199707982,0.251456058,0.211581657,0.020229912,0.01409316,0.015079067,0.014190099,FALSE,FALSE,0,0,0,0,0,0,1.60048754,1.567883578,0.260687425,0.247185945,0.128007686,0.122650582,0.325584124,2.309122794
