"condition","Cell index","KT pairs","KT","Time","move X","move Y","move Z","move interval","WidthX Ch1","tail or not ch1","tail direction ch1","WidthX Ch2","tail or not ch2","tail direction ch2","location X","location Y","location Z","frame"
""
""
1,2,3,1,1,-0.44821493820244207,0.20567129121893224,-0.059851892159750175,1,0.4124276204195929,"False","",0.3589898511489293,"False","",-0.8307895470210109,0.11619861273931242,0.5447240551795667,1
1,2,3,1,2,-0.3135781500201489,0.23056298103022854,-0.05707004247905223,1,0.4209020928612768,"False","",0.39709707944459144,"False","",-1.279004485223453,0.32186990395824466,0.4848721630198165,2
1,2,3,1,3,-0.34021696687004876,0.10926072137337961,-0.01632136272568263,1,0.4436462068300881,"False","",0.4110608083214677,"False","",-1.5925826352436019,0.5524328849884732,0.4278021205407643,3
1,2,3,1,4,0.055756145981780136,-0.00498799040330411,-0.20422879998037935,1,0.4578665327171177,"False","",0.3861717073480728,"False","",-1.9327996021136506,0.6616936063618528,0.41148075781508164,4
1,2,3,1,5,0.6597605920758554,-0.20701027322216525,-0.09896652890051993,1,0.42651298335102256,"False","",0.3574802380565366,"False","",-1.8770434561318705,0.6567056159585487,0.2072519578347023,5
1,2,3,1,6,0.5220681541905918,-0.36402400341775376,-0.13459475159597445,1,0.33130507353913613,"False","",0.3255607728735869,"False","",-1.2172828640560152,0.44969534273638345,0.10828542893418236,6
1,2,3,1,7,0.332248364684796,-0.2471121740261335,-0.1504772952248843,1,0.35976661089821854,"False","",0.32462324571431306,"False","",-0.6952147098654233,0.08567133931862969,-0.02630932266179209,7
1,2,3,1,8,0.15152790233129032,-0.03798719707926779,-0.08175245454516034,1,0.3599290997076001,"False","",0.3364848456212187,"False","",-0.3629663451806273,-0.1614408347075038,-0.17678661788667638,8
1,2,3,1,9,0.30643982279374704,0.07553633404946503,0.09842047707144519,1,0.3259124640710662,"False","",0.2984993653167756,"False","",-0.211438442849337,-0.1994280317867716,-0.2585390724318367,9
1,2,3,1,10,0.2106508192713754,0.017213848658142794,0.02702151866654401,1,0.360091133189931,"False","",0.30886894649445573,"False","",0.09500137994441005,-0.12389169773730657,-0.16011859536039152,10
1,2,3,1,11,0.1273756763274605,-0.05062960818156448,0.04279088445569723,1,0.35299660292969187,"False","",0.31322945782206635,"False","",0.30565219921578546,-0.10667784907916378,-0.13309707669384752,11
1,2,3,1,12,0.08390666893598997,-0.0237752604408481,-0.1424315847050811,1,0.38153293598437005,"False","",0.3310591396633992,"False","",0.43302787554324595,-0.15730745726072826,-0.09030619223815028,12
1,2,3,1,13,0.32788907378622945,-0.0038707449195474197,-0.004856716057976773,1,0.36072247543000635,"False","",0.35091863252833816,"False","",0.5169345444792359,-0.18108271770157636,-0.2327377769432314,13
1,2,3,1,14,0.19135019141412535,0.0790086638343741,0.03327228344105704,1,0.3467190572175232,"False","",0.3387615509251263,"False","",0.8448236182654654,-0.18495346262112378,-0.23759449300120816,14
1,2,3,1,15,0.29838404629481374,-0.13250240512039113,0.025890828213866124,1,0.42586701494298956,"False","",0.3565904083925527,"False","",1.0361738096795907,-0.10594479878674967,-0.20432220956015112,15
